user_id,signup_date,last_login_date,total_sessions,avg_session_minutes,subscription_tier,monthly_spend,support_tickets,churned
U003000,2022-10-21,2022-11-21,87,9.74,enterprise,99.37,1.0,0
U003001,2022-02-13,2022-06-23,10,29.61,premium,32.39,0.0,0
U003002,2023-08-03,2023-10-06,102,,free,,,0
U003003,2023-01-21,2023-05-28,11,,premium,,,0
U003004,2022-01-23,2023-03-02,37,12.67,basic,18.16,0.0,0
U003005,2022-05-04,2023-02-04,27,12.06,basic,10.3,0.0,0
U003006,2022-11-27,2023-07-17,26,15.23,free,0.0,1.0,0
U003007,2023-09-12,2023-11-03,6,5.93,basic,9.48,1.0,1
U003008,2023-03-07,2023-09-12,68,9.08,basic,8.86,1.0,0
U003009,2022-08-04,2023-07-06,30,9.75,basic,14.0,1.0,0
U003010,2023-09-12,2023-12-15,34,7.23,enterprise,97.91,3.0,0
U003011,2022-03-06,2023-03-08,7,11.01,premium,28.58,1.0,0
U003012,2022-06-17,2023-07-30,79,23.23,free,2.79,1.0,0
U003013,2022-10-03,2023-11-30,18,,free,,,0
U003014,2023-03-17,2023-08-30,99,,premium,,,0
U003015,2023-01-05,2023-10-13,66,1.79,basic,7.89,0.0,0
U003016,2022-05-16,2023-09-25,42,22.38,premium,27.2,1.0,0
U003017,2022-01-17,2022-03-08,26,12.51,free,2.97,3.0,0
U003018,2022-03-15,2023-06-29,35,14.02,free,0.0,2.0,0
U003019,2023-07-08,2023-10-29,36,3.57,basic,15.09,3.0,0
U003020,2022-10-04,2023-01-16,8,2.49,enterprise,96.63,1.0,0
U003021,2023-08-03,2023-10-20,32,38.44,free,3.24,3.0,0
U003022,2023-03-11,2023-04-28,40,,basic,,,0
U003023,2023-04-04,2023-05-17,15,7.9,free,0.0,1.0,0
U003024,2022-02-20,2022-08-09,15,11.16,free,2.9,0.0,0
U003025,2022-03-16,2023-01-23,57,22.23,premium,35.45,1.0,0
U003026,2023-04-21,2023-11-27,98,,basic,,,0
U003027,2023-09-10,2023-09-11,20,24.53,free,7.28,3.0,0
U003028,2023-09-28,2023-10-15,28,,basic,,,0
U003029,2022-07-03,2023-10-02,25,4.96,free,3.75,2.0,0
U003030,2022-12-30,2023-03-02,1,,enterprise,,,0
U003031,2022-10-10,2023-10-01,24,,free,,,0
U003032,2023-10-05,2023-11-04,98,,free,,,0
U003033,2023-09-03,2023-09-30,30,15.78,free,0.0,1.0,0
U003034,2023-02-13,2023-04-25,40,2.02,free,1.91,1.0,0
U003035,2023-08-02,2024-01-14,29,29.58,enterprise,101.21,0.0,0
U003036,2023-07-23,2023-08-10,89,10.72,basic,8.6,3.0,0
U003037,2023-12-08,2023-12-19,18,19.38,basic,13.96,1.0,0
U003038,2023-05-12,2023-10-20,15,34.62,premium,26.18,0.0,0
U003039,2022-10-21,2023-09-02,12,45.16,basic,7.71,1.0,0
U003040,2023-05-08,2023-05-31,49,,premium,,,0
U003041,2023-07-26,2023-08-27,98,,basic,,,0
U003042,2022-11-18,2023-05-17,56,19.61,enterprise,101.36,3.0,0
U003043,2023-01-28,2023-04-10,20,6.15,free,1.7,2.0,0
U003044,2022-02-24,2022-05-22,47,12.23,free,0.0,2.0,0
U003045,2022-04-10,2023-12-16,49,2.31,premium,29.16,3.0,0
U003046,2023-02-28,2023-03-14,7,6.05,premium,20.9,1.0,0
U003047,2022-02-10,2022-12-16,16,8.67,free,0.0,1.0,0
U003048,2022-04-04,2023-09-08,36,12.51,free,0.0,1.0,0
U003049,2022-11-10,2023-04-11,53,13.68,basic,11.69,1.0,0
U003050,2023-04-15,2023-12-25,29,,free,,,0
U003051,2023-04-14,2023-12-26,61,,basic,,,0
U003052,2023-10-05,2023-12-12,45,,premium,,,0
U003053,2023-12-04,2023-12-28,104,6.27,enterprise,98.73,2.0,0
U003054,2023-08-03,2023-11-11,48,32.99,premium,29.82,3.0,0
U003055,2022-05-13,2023-07-18,50,17.27,free,0.0,0.0,0
U003056,2022-01-16,2022-07-12,48,,premium,,,0
U003057,2023-10-03,2023-10-06,27,,basic,,,0
U003058,2023-12-02,2023-12-19,22,,free,,,0
U003059,2023-10-16,2023-12-06,9,,basic,,,0
U003060,2022-03-13,2023-08-09,33,,premium,,,0
U003061,2022-10-09,2023-10-04,60,9.59,basic,13.77,0.0,0
U003062,2022-03-01,2023-09-02,48,,basic,,,0
U003063,2023-07-13,2023-09-23,31,8.67,free,4.17,1.0,0
U003064,2023-09-27,2023-12-02,71,29.68,enterprise,100.92,2.0,0
U003065,2023-07-10,2023-11-25,55,,free,,,0
U003066,2022-04-25,2022-07-02,28,30.86,free,0.0,0.0,0
U003067,2022-09-25,2023-10-04,41,2.29,enterprise,98.91,1.0,0
U003068,2023-04-16,2023-05-16,12,7.75,free,4.45,1.0,0
U003069,2022-09-28,2022-11-27,21,3.35,basic,13.56,2.0,0
U003070,2022-04-02,2022-05-29,49,17.54,free,0.0,5.0,1
U003071,2022-02-11,2022-08-10,28,7.49,free,2.85,1.0,0
U003072,2023-07-29,2023-08-01,7,7.75,free,0.95,0.0,1
U003073,2022-12-26,2023-09-20,24,12.84,basic,7.57,1.0,0
U003074,2023-03-26,2023-06-20,24,,free,,,0
U003075,2023-03-16,2023-05-16,34,2.92,premium,31.59,2.0,0
U003076,2023-11-16,2023-12-08,13,27.77,premium,27.43,0.0,0
U003077,2023-03-13,2023-12-07,27,35.12,free,0.0,2.0,0
U003078,2022-05-05,2022-07-23,13,9.26,basic,10.01,2.0,0
U003079,2022-07-11,2023-07-15,16,,free,,,0
U003080,2022-05-15,2022-11-02,39,,free,,,0
U003081,2023-03-30,2023-05-22,52,6.41,premium,27.76,1.0,0
U003082,2022-01-25,2022-05-24,45,,free,,,0
U003083,2022-07-13,2022-07-16,56,8.34,free,0.0,0.0,0
U003084,2023-12-04,2023-12-20,77,,free,,,0
U003085,2022-12-09,2023-06-24,10,4.73,enterprise,102.65,1.0,0
U003086,2023-06-16,2023-06-26,28,19.81,basic,7.8,0.0,0
U003087,2022-02-13,2023-04-19,50,17.07,free,0.0,0.0,0
U003088,2023-04-06,2023-11-06,46,19.85,enterprise,98.01,0.0,0
U003089,2023-01-23,2023-06-11,28,,premium,,,0
U003090,2022-05-10,2023-05-27,79,,free,,,0
U003091,2022-01-26,2022-03-21,32,14.43,free,0.0,2.0,0
U003092,2022-07-06,2022-08-23,20,20.53,enterprise,104.25,3.0,0
U003093,2023-10-07,2023-12-06,39,23.57,premium,27.82,2.0,0
U003094,2023-02-01,2023-07-19,70,3.46,free,0.0,2.0,0
U003095,2022-09-05,2022-09-10,10,24.82,free,0.0,1.0,0
U003096,2023-02-21,2023-12-07,26,,premium,,,0
U003097,2022-03-19,2022-11-23,14,30.11,basic,4.72,2.0,0
U003098,2022-04-20,2023-09-08,31,,enterprise,,,0
U003099,2023-05-30,2023-12-04,23,8.43,enterprise,97.48,0.0,0
U003100,2023-04-09,2023-06-26,17,15.41,free,1.28,1.0,0
U003101,2022-10-23,2022-11-05,87,,free,,,0
U003102,2022-12-27,2023-11-18,23,15.9,premium,28.51,3.0,0
U003103,2023-12-07,2023-12-29,39,15.41,free,0.0,2.0,0
U003104,2022-02-11,2023-03-04,15,51.24,premium,24.95,3.0,0
U003105,2023-02-05,2023-03-31,22,11.19,free,0.0,1.0,0
U003106,2023-04-17,2023-11-18,53,17.54,basic,6.2,0.0,0
U003107,2023-10-16,2023-11-04,58,19.79,premium,25.74,0.0,0
U003108,2023-09-12,2023-09-18,20,22.87,enterprise,103.51,2.0,0
U003109,2022-07-02,2023-08-29,143,,premium,,,0
U003110,2022-11-30,2023-07-23,42,12.44,enterprise,97.92,3.0,0
U003111,2023-09-21,2023-12-05,8,,free,,,1
U003112,2023-08-02,2024-01-13,48,1.67,premium,28.34,1.0,0
U003113,2023-10-01,2023-12-16,10,8.92,basic,11.16,2.0,0
U003114,2022-09-27,2023-09-02,12,,enterprise,,,0
U003115,2023-04-18,2023-09-15,26,,free,,,1
U003116,2023-01-28,2023-08-18,43,16.67,premium,32.22,1.0,0
U003117,2023-01-16,2023-06-28,24,8.79,basic,5.99,0.0,0
U003118,2023-04-21,2023-05-30,47,,enterprise,,,0
U003119,2023-07-30,2023-12-27,77,10.6,free,0.0,0.0,0
U003120,2023-08-30,2023-10-12,43,,basic,,,0
U003121,2023-01-29,2023-08-26,16,7.66,free,0.18,2.0,0
U003122,2022-12-15,2024-01-14,40,7.82,free,4.91,0.0,0
U003123,2023-02-04,2023-09-30,24,5.09,free,4.02,1.0,0
U003124,2023-08-16,2023-09-09,36,13.8,free,0.0,1.0,0
U003125,2023-02-08,2023-12-14,17,5.95,free,0.0,0.0,0
U003126,2023-01-15,2023-04-01,37,10.02,free,0.97,0.0,0
U003127,2023-04-06,2023-10-06,47,16.9,free,3.29,1.0,0
U003128,2023-10-27,2023-12-05,21,12.84,free,2.61,1.0,0
U003129,2023-06-21,2023-06-29,96,,enterprise,,,0
U003130,2022-09-09,2023-06-21,17,5.75,premium,25.67,0.0,0
U003131,2023-04-05,2023-05-24,23,49.43,basic,12.92,2.0,0
U003132,2023-07-26,2023-08-27,31,,free,,,0
U003133,2023-05-03,2023-07-09,13,9.49,free,4.51,2.0,0
U003134,2022-11-01,2023-05-11,77,3.84,basic,9.81,0.0,0
U003135,2022-02-24,2022-05-22,34,25.8,basic,12.36,0.0,0
U003136,2023-03-26,2023-05-04,22,6.06,free,1.84,0.0,0
U003137,2023-10-11,2023-11-06,20,15.31,enterprise,97.02,2.0,0
U003138,2022-09-18,2023-11-07,38,,free,,,0
U003139,2023-01-11,2023-03-15,42,24.38,free,0.0,3.0,0
U003140,2022-08-31,2022-09-26,40,2.27,free,0.0,1.0,0
U003141,2022-05-08,2023-07-26,16,,premium,,,0
U003142,2022-11-07,2023-07-20,38,8.27,free,0.0,1.0,0
U003143,2022-01-16,2023-03-29,21,17.37,free,0.0,2.0,0
U003144,2023-05-11,2023-12-30,15,1.68,free,0.0,1.0,0
